herd,year,count,Sightability,sd,MinUsed,Est_CL,Est_CL.min,Est_CL.max
Maligne,2007,5,1,0.36347780691001796,0,5,3.1291726134176123,12.433680943375036
Maligne,2006,7,0.5,0.3535533905932738,0,14,6.472238797765971,-85.8450211811356
Maligne,2005,8,1,0.357652996164809,0,8,5.03687771824265,19.430942066261746
Maligne,2004,7,0.3333333333333333,0.2721655269759087,0,21,8.962813028290233,-61.221919342949036
Maligne,2003,19,0.5714285714285714,0.1870439059165649,0,33.25,21.613314728254135,72.03261560903645
Maligne,2001,12,NA,NA,0,14.87863060745109,12.90794631355204,17.559473728896194
Maligne,2000,41,NA,NA,0,50.83532124212456,44.102149904636136,59.99486857372867
Maligne,1998,68,NA,NA,0,84.31224010888951,73.14502911012822,99.5036844637451
Maligne,1996,40,NA,NA,0,49.5954353581703,43.02648771184013,58.53157909632065
Maligne,1993,41,NA,NA,0,50.83532124212456,44.102149904636136,59.99486857372867
Maligne,1988,40,0.99,0.07486035635450085,1,40.4040404040404,35.93457566326225,46.14323625228368
Monashee,2016,1,NA,NA,0,1.2398858839542575,1.0756621927960033,1.4632894774080163
Monashee,2011,3,NA,NA,0,3.7196576518627724,3.22698657838801,4.389868432224048
Monashee,2008,5,NA,NA,0,6.199429419771287,5.378310963980017,7.316447387040081
Monashee,2006,7,1,0,0,7,7,7
Monashee,2004,7,1,0.35227702039602043,0,7,4.4319425479582994,16.6445871066165
Monashee,2002,4,1,0,0,4,4,4
Monashee,1994,10,NA,NA,0,12.398858839542575,10.756621927960033,14.632894774080162
Quintette,2019,48,0.6,0.15491933384829668,0,80,56.152233722237256,139.05750669006434
Nakusp,2021,28,1,0.10661901579037582,0,28,23.822239372955707,33.954716287984304
Nakusp,2019,25,0.99,0.07486035635450085,1,25.252525252525253,22.459109789538907,28.8395226576773
Nakusp,2018,31,1,0.11617974051919268,0,31,26.026400508171903,38.323566309631495
Nakusp,2017,29,NA,NA,0,35.956690634673464,31.194203591084097,42.43539484483247
Nakusp,2016,35,NA,NA,0,43.39600593839901,37.64817674786012,51.21513170928057
Nakusp,2015,43,NA,NA,0,53.31509301003307,46.25347429022814,62.921447528544704
Nakusp,2014,50,NA,NA,0,61.99429419771287,53.783109639800166,73.16447387040081
Nakusp,2012,85,NA,NA,0,105.39030013611188,91.43128638766028,124.37960557968138
Nakusp,2010,77,NA,NA,0,95.47121306447782,82.82598884529226,112.67328976041725
Nakusp,2008,85,NA,NA,0,105.39030013611188,91.43128638766028,124.37960557968138
Nakusp,2007,59,NA,NA,0,73.15326715330119,63.4640693749642,86.33407916707296
Nakusp,2006,74,NA,NA,0,91.75155541261505,79.59900226690425,108.2834213281932
Nakusp,2005,94,0.99,0.07486035635450085,1,94.94949494949495,84.44625280866629,108.43660519286664
Nakusp,2004,70,NA,NA,0,86.79201187679801,75.29635349572024,102.43026341856114
Nakusp,2002,76,0.6666666666666666,0.15713484026367724,0,114,82.15062477971428,186.18168150719444
Nakusp,1999,151,0.8235294117647058,0.09245944094039717,0,183.35714285714286,154.77475138912337,224.8872770021656
Nakusp,1997,198,0.9565217391304348,0.04252257799320223,0,207,192.8950326630222,223.33048365092287
Nakusp,1996,172,0.9230769230769231,0.07390530175619404,0,186.33333333333331,164.65001372710705,214.59393797838445
Nakusp,1995,43,NA,NA,0,53.31509301003307,46.25347429022814,62.921447528544704
Nakusp,1994,148,NA,NA,0,183.5031108252301,159.1980045338085,216.5668426563864
Narraway BC,2015,30,0.99,0.07486035635450085,1,30.303030303030305,26.950931747446685,34.60742718921276
Narraway BC,2013,48,0.99,0.07486035635450085,1,48.484848484848484,43.121490795914696,55.37188350274041
Narraway BC,2011,56,0.99,0.07486035635450085,1,56.56565656565657,50.30840592856715,64.60053075319715
Quintette,2021,49,0.36363636363636365,0.14504073367590284,0,134.75,81.36742245339663,391.7927797031904
Narraway BC,2008,80,0.99,0.07486035635450085,1,80.8080808080808,71.8691513265245,92.28647250456736
Narrow Lake,2018,15,1,0.3540835002158738,0,15,9.47918665688649,35.92076557270668
Narrow Lake,2017,20,NA,NA,0,24.79771767908515,21.513243855920066,29.265789548160324
Narrow Lake,2016,31,NA,NA,0,38.43646240258198,33.3455279766761,45.3619737996485
Narrow Lake,2014,39,NA,NA,0,48.35554947421604,41.95082551904413,57.06828961891264
Narrow Lake,2012,36,NA,NA,0,44.635891822353265,38.72383894065612,52.67842118668859
Narrow Lake,2010,15,0.99,0.07486035635450085,1,15.151515151515152,13.475465873723342,17.30371359460638
Narrow Lake,2009,21,NA,NA,0,26.037603563039408,22.58890604871607,30.729079025568343
Narrow Lake,2008,40,NA,NA,0,49.5954353581703,43.02648771184013,58.53157909632065
Narrow Lake,2007,48,NA,NA,0,59.51452242980436,51.63178525420816,70.23789491558477
Narrow Lake,2006,33,NA,NA,0,40.9162341704905,35.49685236226811,48.28855275446454
Narrow Lake,2005,34,0.99,0.07486035635450085,1,34.343434343434346,30.54438931377291,39.22175081444112
Narrow Lake,2004,23,NA,NA,0,28.51737533094792,24.740230434308078,33.655657980384376
Narrow Lake,2002,61,NA,NA,0,75.6330389212097,65.6153937605562,89.260658121889
Narrow Lake,1999,67,NA,NA,0,83.07235422493525,72.06936691733222,98.04039498633709
North Cariboo,2020,97,0.6666666666666666,0.13608276348795434,0,145.5,108.92727518681872,219.0452218670233
North Cariboo,2018,137,0.7142857142857143,0.1207363221040738,0,191.79999999999998,150.07467797609044,265.66215352971614
North Cariboo,2011,163,NA,NA,0,202.10139908454397,175.33293742574855,238.51618481750666
North Cariboo,2006,209,NA,NA,0,259.1361497464398,224.8133982943647,305.8275007782754
North Cariboo,2005,215,NA,NA,0,266.57546505016535,231.26737145114072,314.6072376427235
North Cariboo,2002,236,NA,NA,0,292.61306861320475,253.8562774998568,345.33631666829183
North Cariboo,1999,258,NA,NA,0,319.89055806019843,277.5208457413689,377.5286851712682
Purcells Central,2009,0,NA,NA,0,0,0,0
Purcells Central,2007,0,NA,NA,0,0,0,0
Purcells Central,2006,0,NA,NA,0,0,0,0
Purcells Central,2005,1,0.99,0.07486035635450085,1,1.0101010101010102,0.8983643915815562,1.1535809063070919
Purcells Central,2004,6,0.99,0.07486035635450085,1,6.0606060606060606,5.390186349489337,6.921485437842551
Purcells Central,2003,6,NA,NA,0,7.439315303725545,6.45397315677602,8.779736864448097
Purcells Central,2002,5,NA,NA,0,6.199429419771287,5.378310963980017,7.316447387040081
Purcells Central,2000,5,NA,NA,0,6.199429419771287,5.378310963980017,7.316447387040081
Purcells Central,1998,5,1,0.2659115100054458,0,5,3.4785402484164787,8.887064824481214
Purcells Central,1997,14,0.99,0.07486035635450085,1,14.141414141414142,12.577101482141787,16.150132688299287
Purcells Central,1996,17,0.99,0.07486035635450085,1,17.171717171717173,15.272194656886455,19.61087540722056
Purcells Central,1995,15,1,0.2746032820599089,0,15,10.332847123879292,27.356348592144087
Purcells Central,1994,15,NA,NA,0,18.59828825931386,16.13493289194005,21.949342161120246
Purcells South,2018,4,NA,NA,0,4.95954353581703,4.302648771184013,5.853157909632065
Purcells South,2017,13,NA,NA,0,16.118516491405348,13.983608506348043,19.022763206304212
Purcells South,2016,16,NA,NA,0,19.83817414326812,17.210595084736052,23.41263163852826
Purcells South,2015,19,NA,NA,0,23.55783179513089,20.437581663124064,27.80250007075231
Purcells South,2014,19,NA,NA,0,23.55783179513089,20.437581663124064,27.80250007075231
Purcells South,2013,20,1,0.2183463134852793,0,20,14.715112475014376,31.208401820721175
Purcells South,2012,14,NA,NA,0,17.358402375359603,15.059270699144047,20.486052683712227
Purcells South,2011,15,NA,NA,0,18.59828825931386,16.13493289194005,21.949342161120246
Purcells South,2010,15,NA,NA,0,18.59828825931386,16.13493289194005,21.949342161120246
Purcells South,2009,14,NA,NA,0,17.358402375359603,15.059270699144047,20.486052683712227
Purcells South,2007,15,NA,NA,0,18.59828825931386,16.13493289194005,21.949342161120246
Purcells South,2006,16,NA,NA,0,19.83817414326812,17.210595084736052,23.41263163852826
Purcells South,2005,10,NA,NA,0,12.398858839542575,10.756621927960033,14.632894774080162
Purcells South,2004,11,NA,NA,0,13.638744723496831,11.832284120756036,16.09618425148818
Purcells South,2003,9,NA,NA,0,11.158972955588316,9.68095973516403,13.169605296672147
Purcells South,2002,13,0,0,0,16.118516491405348,13.983608506348043,19.022763206304212
Purcells South,2000,13,1,0.35397923851732294,0,13,8.216185535434127,31.118550341826772
Purcells South,1998,13,0.3333333333333333,0.2721655269759087,0,39,16.645224195396146,-113.69785020833393
Purcells South,1997,37,0.99,0.07486035635450085,1,37.37373737373738,33.23948248851758,42.682493533362404
Purcells South,1996,46,0.99,0.07486035635450085,1,46.464646464646464,41.324762012751584,53.06472169012623
Purcells South,1995,63,1,0.13359048561337725,0,63,51.650507958159224,80.74193484652201
Purcells South,1994,54,0.75,0.21650635094610965,0,72,48.81927547540363,137.09775723960672
Purcells South,1993,44,NA,NA,0,54.554978893987325,47.32913648302414,64.38473700595272
Rainbows,2020,24,1,0.35546604072134197,0,24,15.144934017192508,57.78792407496971
Rainbows,2016,32,NA,NA,0,39.67634828653624,34.421190169472105,46.82526327705652
Rainbows,2008,44,NA,NA,0,54.554978893987325,47.32913648302414,64.38473700595272
Rainbows,2001,45,0.75,0.21650635094610965,0,60,40.68272956283636,114.2481310330056
Rainbows,2000,57,0.8,0.17888543819998315,0,71.25,52.09096263058887,112.70161273579679
Rainbows,2000,108,NA,NA,0,133.9076754670598,116.17151682196835,158.03526356006577
Rainbows,1999,96,0.8333333333333334,0.15214515486254612,0,115.19999999999999,88.59445250149209,164.64367176159286
Rainbows,1999,120,NA,NA,0,148.7863060745109,129.0794631355204,175.59473728896197
Rainbows,1998,98,0.7142857142857143,0.17074694419062766,0,137.2,98.4787222595792,226.10204975687188
Rainbows,1998,107,NA,NA,0,132.66778958310553,115.09585462917235,156.57197408265773
Rainbows,1997,111,1,0.135140054250523,0,111,90.81350852113714,142.72582742398126
Rainbows,1997,106,NA,NA,0,131.4279036991513,114.02019243637635,155.10868460524972
Rainbows,1996,73,0.4,0.21908902300206645,0,182.5,96.00607122594153,1841.9728349700817
Rainbows,1996,127,NA,NA,0,157.4655072621907,136.60909848509243,185.83776363081807
Rainbows,1995,178,NA,NA,0,220.69968734385782,191.4678703176886,260.4655269786269
Rainbows,1995,145,NA,NA,0,179.78345317336732,155.97101795542048,212.17697422416236
Rainbows,1988,84,NA,NA,0,104.15041425215763,90.35562419486428,122.91631610227337
Rainbows,1987,103,NA,NA,0,127.70824604728851,110.79320585798834,150.7188161730257
Rainbows,1987,51,NA,NA,0,63.23418008166713,54.85877183259617,74.62776334780882
Rainbows,1986,118,1,0.1526436302491309,0,118,94.31881977557497,157.55935226939025
Rainbows,1986,117,NA,NA,0,145.06664842264811,125.85247655713239,171.2048688567379
Rainbows,1985,75,1,0.2058988388307032,0,75,56.02564369694869,113.40829355266182
South Selkirks,2019,0,NA,NA,0,0,0,0
South Selkirks,2018,3,NA,NA,0,3.7196576518627724,3.22698657838801,4.389868432224048
South Selkirks,2017,11,NA,NA,0,13.638744723496831,11.832284120756036,16.09618425148818
South Selkirks,2016,12,NA,NA,0,14.87863060745109,12.90794631355204,17.559473728896194
South Selkirks,2015,14,NA,NA,0,17.358402375359603,15.059270699144047,20.486052683712227
