herd,year,season,type,calves,adults,recruitment
Chase,2009,winter,MNKA,58,333,0.17417417417417416
Chase,2008,winter,MNKA,61,269,0.22676579925650558
Chase,2007,winter,MNKA,55,338,0.16272189349112426
Quintette,2008,winter,MNKA,26,147,0.17687074829931973
Chase,2006,winter,MNKA,24,75,0.32
Chase,2002,winter,MNKA,27,177,0.15254237288135594
Chase,2001,winter,MNKA,28,141,0.19858156028368795
Chase,2000,winter,MNKA,14,109,0.12844036697247707
Columbia North,2014,winter,MNKA,16,108,0.14814814814814814
Columbia South,2011,winter,MNKA,2,5,0.4
Graham,2021,winter,MNKA,21,112,0.1875
Graham,2016,winter,MNKA,21,150,0.14
Graham,2015,winter,MNKA,27,180,0.15
Graham,2009,winter,MNKA,19,170,0.11176470588235295
Graham,2003,winter,MNKA,3,66,0.045454545454545456
Hart North,2020,winter,MNKA,20,94,0.2127659574468085
Hart North,2019,winter,MNKA,23,91,0.25274725274725274
Hart South,2020,winter,MNKA,49,240,0.20416666666666666
Quintette,2013,winter,MNKA,9,105,0.08571428571428572
Itcha-Ilgachuz,2020,spring,MNKA,18,191,0.09424083769633508
Itcha-Ilgachuz,2018,spring,MNKA,138,364,0.3791208791208791
Itcha-Ilgachuz,2015,spring,MNKA,279,672,0.41517857142857145
Itcha-Ilgachuz,2013,spring,MNKA,291,819,0.3553113553113553
Quintette,2016,winter,MNKA,6,33,0.18181818181818182
Kennedy Siding,2011,winter,MNKA,2,42,0.047619047619047616
Quintette,2018,winter,MNKA,13,54,0.24074074074074073
Quintette,2019,winter,MNKA,22,57,0.38596491228070173
Quintette,2020,winter,MNKA,9,30,0.3
North Cariboo,2020,winter,MNKA,19,102,0.18627450980392157
Purcells Central,2004,winter,MNKA,1,5,0.2
Purcells Central,1997,winter,MNKA,1,13,0.07692307692307693
Purcells South,1996,winter,MNKA,1,45,0.022222222222222223
Telkwa,2014,winter,MNKA,4,11,0.36363636363636365
Telkwa,2013,winter,MNKA,3,8,0.375
Telkwa,2012,winter,MNKA,1,2,0.5
Telkwa,2011,winter,MNKA,8,18,0.4444444444444444
Telkwa,2010,winter,MNKA,4,18,0.2222222222222222
Telkwa,2009,winter,MNKA,5,39,0.1282051282051282
Telkwa,2008,winter,MNKA,7,64,0.109375
Telkwa,2007,winter,MNKA,19,64,0.296875
Telkwa,2006,winter,MNKA,22,54,0.4074074074074074
Telkwa,2005,winter,MNKA,10,46,0.21739130434782608
Telkwa,2004,winter,MNKA,21,53,0.39622641509433965
Telkwa,1999,winter,MNKA,2,34,0.058823529411764705
Telkwa,1996,winter,MNKA,1,3,0.3333333333333333
Telkwa,1987,winter,MNKA,6,33,0.18181818181818182
Telkwa,1984,winter,MNKA,15,49,0.30612244897959184
Tweedsmuir,2022,fall,MNKA,38,127,0.2992125984251969
Wolverine,2010,winter,MNKA,28,199,0.1407035175879397
Wolverine,2009,winter,MNKA,28,227,0.12334801762114538
Wolverine,2008,winter,MNKA,49,286,0.17132867132867133
Wolverine,2007,winter,MNKA,54,295,0.18305084745762712
Wolverine,2004,winter,MNKA,39,144,0.2708333333333333
Wolverine,2002,winter,MNKA,36,110,0.32727272727272727
Wolverine,2001,winter,MNKA,19,112,0.16964285714285715
Wolverine,2000,winter,MNKA,10,104,0.09615384615384616
