id,herd,year,enter.date,exit.date,event,enter,exit,time
147,Wells Gray South,2003,2003-01-09,2003-12-31,0,0,12,356
147,Wells Gray South,2004,2004-01-01,2004-12-31,0,0,12,365
147,Wells Gray South,2005,2005-01-01,2005-12-31,0,0,12,364
147,Wells Gray South,2006,2006-01-01,2006-12-31,0,0,12,364
147,Wells Gray South,2007,2007-01-01,2007-10-15,0,0,10,287
149,Columbia South,2003,2003-01-11,2003-04-01,1,0,4,80
15,Columbia South,1991,1991-12-03,1991-12-31,0,11,12,28
15,Columbia South,1992,1992-01-01,1992-12-31,0,0,12,365
15,Columbia South,1993,1993-01-01,1993-12-31,0,0,12,364
15,Columbia South,1994,1994-01-01,1994-12-31,0,0,12,364
15,Columbia South,1995,1995-01-01,1995-12-31,0,0,12,364
15,Columbia South,1996,1996-01-01,1996-12-31,0,0,12,365
15,Columbia South,1997,1997-01-01,1997-12-31,0,0,12,364
15,Columbia South,1998,1998-01-01,1998-12-11,1,0,12,344
15,Hart North,2002,2002-11-13,2002-12-31,0,10,12,48
15,Hart North,2003,2003-01-01,2003-12-30,0,0,12,363
15,Itcha-Ilgachuz,1996,1996-05-25,1996-12-31,0,4,12,220
15,Itcha-Ilgachuz,1997,1997-01-01,1997-07-16,1,0,7,196
15,Itcha-Ilgachuz,2012,2012-10-01,2012-12-31,0,9,12,91
15,Itcha-Ilgachuz,2013,2013-01-01,2013-12-31,0,0,12,364
15,Itcha-Ilgachuz,2014,2014-01-01,2014-12-31,0,0,12,364
15,Itcha-Ilgachuz,2015,2015-01-01,2015-04-02,0,0,4,91
15,Wells Gray South,1985,1985-12-28,1985-12-31,0,11,12,3
15,Wells Gray South,1986,1986-01-01,1986-12-31,0,0,12,364
15,Wells Gray South,1987,1987-01-01,1987-12-31,0,0,12,364
15,Wells Gray South,1988,1988-01-01,1988-12-16,0,0,12,350
15-7318,Kennedy Siding,2016,2016-12-13,2016-12-31,0,11,12,18
15-7318,Kennedy Siding,2017,2017-01-01,2017-12-31,0,0,12,364
15-7318,Kennedy Siding,2018,2018-01-01,2018-07-31,0,0,7,211
15-7319,Kennedy Siding,2016,2016-12-13,2016-12-31,0,11,12,18
15-7319,Kennedy Siding,2017,2017-01-01,2017-12-31,0,0,12,364
15-7319,Kennedy Siding,2018,2018-01-01,2018-09-09,0,0,9,251
15-7320,Kennedy Siding,2016,2016-12-13,2016-12-31,0,11,12,18
15-7320,Kennedy Siding,2017,2017-01-01,2017-12-31,0,0,12,364
15-7320,Kennedy Siding,2018,2018-01-01,2018-12-31,0,0,12,364
15-7320,Kennedy Siding,2019,2019-01-01,2019-07-31,0,0,7,211
15-7321,Kennedy Siding,2016,2016-12-13,2016-12-31,0,11,12,18
15-7321,Kennedy Siding,2017,2017-01-01,2017-12-31,0,0,12,364
15-7321,Kennedy Siding,2018,2018-01-01,2018-12-31,0,0,12,364
15-7321,Kennedy Siding,2019,2019-01-01,2019-10-15,0,0,10,287
15-7322,Quintette,2016,2016-12-13,2016-12-31,0,11,12,18
15-7322,Quintette,2017,2017-01-01,2017-12-31,0,0,12,364
15-7322,Quintette,2018,2018-01-01,2018-12-31,0,0,12,364
15-7322,Quintette,2019,2019-01-01,2019-12-31,0,0,12,364
15-7322,Quintette,2020,2020-01-01,2020-12-29,0,0,12,363
15-7323,Quintette,2016,2016-12-13,2016-12-31,0,11,12,18
15-7323,Quintette,2017,2017-01-01,2017-12-31,0,0,12,364
15-7323,Quintette,2018,2018-01-01,2018-12-31,0,0,12,364
15-7323,Quintette,2019,2019-01-01,2019-08-19,0,0,8,230
15-7324,Quintette,2016,2016-12-13,2016-12-31,0,11,12,18
15-7324,Quintette,2017,2017-01-01,2017-12-31,0,0,12,364
15-7324,Quintette,2018,2018-01-01,2018-12-31,0,0,12,364
15-7324,Quintette,2019,2019-01-01,2019-05-06,1,0,5,125
15-7325,Quintette,2016,2016-12-13,2016-12-31,0,11,12,18
15-7325,Quintette,2017,2017-01-01,2017-12-31,0,0,12,364
15-7325,Quintette,2018,2018-01-01,2018-12-31,0,0,12,364
15-7325,Quintette,2019,2019-01-01,2019-09-19,0,0,9,261
150,Columbia South,2003,2003-01-11,2003-12-31,0,0,12,354
150,Columbia South,2004,2004-01-01,2004-04-30,1,0,4,120
151,Columbia North,2003,2003-01-11,2003-12-31,0,0,12,354
151,Columbia North,2004,2004-01-01,2004-12-31,0,0,12,365
151,Columbia North,2005,2005-01-01,2005-12-31,0,0,12,364
151,Columbia North,2006,2006-01-01,2006-12-31,0,0,12,364
151,Columbia North,2007,2007-01-01,2007-12-31,0,0,12,364
