ACTION,Herd,BC Herd,Year,Official Survey Timing,"Survey Count (KMB = SO, Total count) OTC",MinCount (KMB = Minimum # known alive),NFG,NFG-Reason,Use for trend? (KMB - BPV?),"Estimate (MC, eg JHE)","Parameter Method (JHE, mark resight etc)",LCL-90%,UCL-90%,CV,SCF,N collar available,N collars detected,"KMB = Observed sample count, OSC; Min count (survey for recruitment - cannot be used for trend analyses in the IPM or otherwise)",N. Calves (OTC),N. Calves (Min # Known Alive),N. Calves (OSC),Percent calves- free ranging (OTC),Percent calves- free ranging (Min # Known Alive),Percent calves- including penned calves,N. Adult F (OTC),N. Adult F (Min # Known Alive),N. Adult F (OSC),N. Adult M (OTC),N. Adult M (Min # Known Alive),N. Adult M (OSC),N. Adult (Sex Unclassified) (OTC),N. Adult (Sex Unclassified) (Min # Known Alive),N. Adult (Sex Unclassified) (OSC),Unclassified Life Stage and Sex (OTC),Unclassified Life Stage and Sex (Min # Known Alive),Unclassified Life Stage and Sex (OSC),Yrling - Unclas Sex (OTC),Yrling - Unclas Sex (Min # Known Alive),Yrling - Unclas Sex (OSC),Who entered the data?,Relevant Notes in Original Data,Notes in Original Data on MNKA/ Estimate/ Parameter Method,Survey Type (s),Additional Notes
,Quintette,Quintette,2021,Winter,57,71,,NA,"MNKA, MC",98,SCF,58,319,NA,0.5,11,6,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BM,"Estimate calculated for HEWR only to align with estimates from past surveys (Pelletier, pers. comm.)",MNKA = OTC + 11 tracked via telemetry,,CL updated based on Agnes Pelletier #'s in spreadsheet June 6. 2022
,Rainbows,Rainbows,1986,March,NA,NA,,NA,OSC,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,6,,,,NA,NA,11,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,Aerial Late Winter Recruitment,
,Rainbows,Rainbows,2001,March,NA,NA,,NA,OSC,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,6,,,,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,4,NA,NA,NA,BM,,,Aerial Late Winter Recruitment,
,Rainbows,Rainbows,2003,March,NA,NA,,NA,OSC,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,4,,,,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,7,NA,NA,,BM,,,Aerial Late Winter Recruitment,This is the only data available for 2003
,Rainbows,Rainbows,1999,March,NA,NA,,NA,OSC,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,5,,,,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,BM,,,Aerial Late Winter Recruitment,
,Rainbows,Rainbows,2002,March,NA,NA,,NA,OSC,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,3,,,,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,12,NA,NA,,BM,,,Aerial Late Winter Recruitment,This is the only data available for 2002
,Rainbows,Rainbows,1998,March,NA,NA,,NA,OSC,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,4,,,,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,BM,,,Aerial Late Winter Recruitment,
,Rainbows,Rainbows,1988,March,NA,NA,,NA,OSC,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,7,,,,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,BM,,,Aerial Late Winter Recruitment,
,Rainbows,Rainbows,1997,April,NA,NA,,NA,OSC,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,2,,,,NA,NA,NA,NA,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,NA,BM,,,Aerial Late Winter Recruitment,
,Rainbows,Rainbows,1996,June,73,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,5,2,73,24,NA,NA,,,,42,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,BM,,,Aerial Post Calving Population Count & Recruitment ,Yearlings consist of 3 females and 2 males
,Rainbows,Rainbows,2000,April,NA,NA,,NA,OSC,NA,NA,NA,NA,NA,NA,NA,NA,92,NA,NA,12,,,,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,2,NA,NA,NA,BM,,,Aerial Late Winter Recruitment,
,Rainbows,Rainbows,1996,March,NA,NA,,NA,OSC,NA,NA,NA,NA,NA,NA,NA,NA,117,NA,NA,13,,,,NA,NA,NA,NA,NA,NA,NA,NA,104,NA,NA,NA,NA,NA,NA,BM,,,Aerial Late Winter Recruitment,
,Rainbows,Rainbows,1987,March,NA,NA,,NA,OSC,NA,NA,NA,NA,NA,NA,NA,NA,165,NA,NA,31,,,,NA,NA,6,NA,NA,15,NA,NA,113,NA,NA,NA,NA,NA,NA,BM,,,Aerial Late Winter Recruitment,
,Rainbows,Rainbows,2020,June,24,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,2,2,NA,8,NA,NA,,,,15,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,BM,,,Aerial Post Calving Population Count & Recruitment ,This is the only data available for 2020
,Rainbows,Rainbows,1985,June,75,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,4,4,NA,29,NA,NA,,,,43,,,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,Aerial Post Calving Population Count & Recruitment ,This is the only data available for 1985
,Rainbows,Rainbows,2001,June,45,NA,,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,12,NA,6,,,,22,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,BM,"BM note: For Rainbows in this year we have data from both an aerial rut survey and a postcalving survey. We chose to use the postcalving survey data because the aerial rut survey was described as ""incomplete."" // BM note: this comment is for the rut survey. Incomplete survey - aborted due to deteriorating weather; poor sightability - caribou suspected of being in forested habitat along Beef Trail. // BM note: this comment is for the postcalving survey. Total numbers are lower in post calving survey than observed in rut survey in 2001. Post calving surveys usually do not represent the bull & yearling component very well as they are often in meadows and lower elevation habitat while survey primarily occurs at high elevation; 3 of 4 collared cows observed",,Aerial Post Calving Population Count & Recruitment ,
,Rainbows,Rainbows,2000,June,57,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,5,4,NA,19,NA,NA,,,,28,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,BM,,,Aerial Post Calving Population Count & Recruitment ,
,Rainbows,Rainbows,1986,June,118,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,6,6,NA,33,NA,NA,,,,81,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,Aerial Post Calving Population Count & Recruitment ,
,Rainbows,Rainbows,1999,July,96,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,6,5,NA,19,NA,NA,,,,54,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,BM,,,Aerial Post Calving Population Count & Recruitment ,
,Rainbows,Rainbows,1997,July,111,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,7,7,NA,16,NA,NA,,,,46,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,BM,,,Aerial Post Calving Population Count & Recruitment ,
,Rainbows,Rainbows,1998,June,98,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,7,5,NA,21,NA,NA,,,,48,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,BM,,,Aerial Post Calving Population Count & Recruitment ,
,Rainbows,Rainbows,1986,October,117,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,,,,66,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BM,"BM note: For Rainbows in this year we have data from both an aerial rut survey and a postcalving survey. We chose to use the data from the aerial rut survey on advice from N Dodd (""Rainbows’ rut survey was is a better representation of population size than the post-calving survey, thus are used to generate population estimate.""). // Expert Knowledge Estimate from Postcalving Survey: 175 // In June 1986, 118 caribou were counted in the Rainbow Mountains. Although all of the radio-collared cows present (n=6) were sighted during the survey, the proportion of males present above the treeline was not known. The number of animals in the Rainbow Range is therefore estimated to be between 150 and 200 animals; median of 175 provided ",,Aerial Rut Population Count & Composition,
,Rainbows,Rainbows,1987,October,103,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,,,,76,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BM,"BM note: For Rainbows in this year we have data from both an aerial rut survey and a postcalving survey. We chose to use the data from the aerial rut survey on advice from N Dodd (""Rainbows’ rut survey was is a better representation of population size than the post-calving survey, thus are used to generate population estimate."").",,Aerial Post Calving Population Count & Recruitment ,
,Rainbows,Rainbows,1987,June,51,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,,,,18,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,BM,,,Aerial Rut Population Count & Composition,
,Rainbows,Rainbows,1988,June,84,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,,,,42,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,Aerial Post Calving Population Count & Recruitment ,
,Rainbows,Rainbows,1995,October,178,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,,,,119,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BM,"BM note: For Rainbows in this year we have data from both an aerial rut survey and a postcalving survey. We chose to use the data from the aerial rut survey on advice from N Dodd (""Rainbows’ rut survey was is a better representation of population size than the post-calving survey, thus are used to generate population estimate.""). // Total numbers are lower in post calving survey than observed in rut survey in 2001. Post calving surveys usually do not represent the bull & yearling component very well as they are often in meadows and lower elevation habitat while survey primarily occurs at high elevation.",,Aerial Rut Population Count & Composition,"Adult males consist of 11 ""Class II"" males and 32 ""Class III"" males."
,Rainbows,Rainbows,1995,June,145,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,,,,72,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,BM,Total numbers are lower in post calving survey than observed in rut survey in 2001. Post calving surveys usually do not represent the bull & yearling component very well as they are often in meadows and lower elevation habitat while survey primarily occurs at high elevation.,,Aerial Post Calving Population Count & Recruitment ,Yearlings consist of 19 females and 4 males
,Rainbows,Rainbows,1996,October,127,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,13,,,,95,NA,NA,23,NA,NA,NA,NA,104,NA,NA,NA,NA,NA,NA,BM,"BM note: For Rainbows in this year we have data from both an aerial rut survey and a postcalving survey. We chose to use the data from the aerial rut survey on advice from N Dodd (""Rainbows’ rut survey was is a better representation of population size than the post-calving survey, thus are used to generate population estimate."").",,Aerial Rut Population Count & Composition,
,Rainbows,Rainbows,1997,October,106,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,,,,81,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BM,"BM note: For Rainbows in this year we have data from both an aerial rut survey and a postcalving survey. We chose to use the data from the aerial rut survey on advice from N Dodd (""Rainbows’ rut survey was is a better representation of population size than the post-calving survey, thus are used to generate population estimate."").",,Aerial Rut Population Count & Composition,
,Rainbows,Rainbows,1998,October,107,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,,,,74,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BM,"BM note: For Rainbows in this year we have data from both an aerial rut survey and a postcalving survey. We chose to use the data from the aerial rut survey on advice from N Dodd (""Rainbows’ rut survey was is a better representation of population size than the post-calving survey, thus are used to generate population estimate."").",,Aerial Rut Population Count & Composition,
,Rainbows,Rainbows,1999,October,120,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,,,,70,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BM,"BM note: For Rainbows in this year we have data from both an aerial rut survey and a postcalving survey. We chose to use the data from the aerial rut survey on advice from N Dodd (""Rainbows’ rut survey was is a better representation of population size than the post-calving survey, thus are used to generate population estimate."").",,Aerial Rut Population Count & Composition,
,Rainbows,Rainbows,2000,October,108,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,,,,70,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BM,"BM note: For Rainbows in this year we have data from both an aerial rut survey and a postcalving survey. We chose to use the data from the aerial rut survey on advice from N Dodd (""Rainbows’ rut survey was is a better representation of population size than the post-calving survey, thus are used to generate population estimate."").",,Aerial Rut Population Count & Composition,
,Rainbows,Rainbows,2001,November,12,NA,Y,"""Incomplete survey - aborted due to deteriorating weather; poor sightability""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,,,,8,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BM,Incomplete survey - aborted due to deteriorating weather; poor sightability - caribou suspected of being in forested habitat along Beef Trail.  ,,Aerial Rut Population Count & Composition,
,Rainbows,Rainbows,2007,October,5,NA,Y,Incomplete survey (see comments),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,,,,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BM,"Incomplete coverage - during rut, Rainbow caribou are usually further on NW side of Rainbows, west of Tsisutl Peak (this area not surveyed in 2007).  Crew checked flats on NNE side of Rainbows (survey time 1-1.5 hrs) and saw 5 caribou (2 cows, 1 calf and 2 bulls).  Assumed caribou were utilizing forested habitats due to possible carry-over from the late green-up conditions. (L. Roorda, pers comm Dec 2008; P. Dielman, pers. Comm Jan 2009) ",,Aerial Rut Population Count & Composition,This is the only data available for 2007
,Rainbows,Rainbows,2008,October,44,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,,,,24,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BM,"Totals higher than post-calving numbers likey due to increased sightability of bulls & yearlings in the rut survey. Survey count lambda appears to provide a more realistic decline (see survey estimate exp trend 1995-2001) than the exp trend based on 1995-2001-pop estimates, which appear to overestimate the population. **However, regression of the 1995-2008 pop estimates produces an exp trend that closely approximates the 1995-2008 survey estimate trend.  Note: pop estimate for Rainbows was 175 in 1995, 150 in 1996, 125 in 1997-2002.  In 2008 pop estimate was 50 caribou in Rainbows.  Herd is declining with  estimated lambda of 0.916 between 1995-2008. ",,Aerial Rut Population Count & Composition,This is the only data available for 2008
,Rainbows,Rainbows,2016,October,32,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,,,,20,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,Aerial Rut Population Count & Composition,This is the only data available for 2016
,Redrock/Prairie Creek,,2004,Winter,,,,NA,NA,,,,,,,,,68,,,10,,,,,,42.95,,,15.05,,,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,Redrock/Prairie Creek,,2019,Winter,,,,NA,NA,,,,,,,,,77,,,15,,,,,,45.95,,,16.05,,,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,Redrock/Prairie Creek,,2007,Winter,,,,NA,NA,,,,,,,,,79,,,8,,,,,,55.4,,,15.6,,,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,Redrock/Prairie Creek,,2017,Winter,,,,NA,NA,,,,,,,,,87,,,18,,,,,,43.65,,,25.35,,,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,Redrock/Prairie Creek,,2006,Winter,,,,NA,NA,,,,,,,,,91,,,4,,,,,,60.05,,,26.95,,,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,Redrock/Prairie Creek,,2014,Winter,,,,NA,NA,,,,,,,,,91,,,11,,,,,,64.55,,,15.45,,,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,Redrock/Prairie Creek,,2016,Winter,,,,NA,NA,,,,,,,,,96,,,9,,,,,,57.2,,,29.8,,,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,Redrock/Prairie Creek,,2003,Winter,,,,NA,NA,,,,,,,,,98,,,9,,,,,,67.5,,,21.5,,,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,Redrock/Prairie Creek,,2018,Winter,,,,NA,NA,,,,,,,,,99,,,22,,,,,,60,,,17,,,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,Redrock/Prairie Creek,,2013,Winter,,,,NA,NA,,,,,,,,,106,,,14,,,,,,72.3,,,19.7,,,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,Redrock/Prairie Creek,,2005,Winter,,,,NA,NA,,,,,,,,,109,,,14,,,,,,76.55,,,18.45,,,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,Redrock/Prairie Creek,,2012,Winter,,,,NA,NA,,,,,,,,,112,,,14,,,,,,75.1,,,22.9,,,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,Redrock/Prairie Creek,,2015,Winter,,,,NA,NA,,,,,,,,,112,,,17,,,,,,66.15,,,28.85,,,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,Redrock/Prairie Creek,,2009,Winter,,,,NA,NA,,,,,,,,,113,,,17,,,,,,85.65,,,10.35,,,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,Redrock/Prairie Creek,,2020,Winter,,,,NA,NA,,,,,,,,,131,,,25,,,,,,84.3,,,21.7,,,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,Redrock/Prairie Creek,,2010,Winter,,,,NA,NA,,,,,,,,,132,,,17,,,,,,86.1,,,28.9,,,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,Redrock/Prairie Creek,,2011,Winter,,,,NA,NA,,,,,,,,,135,,,17,,,,,,95.7,,,22.3,,,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,Redrock/Prairie Creek,,2008,Winter,,,,NA,NA,,,,,,,,,141,,,19,,,,,,83.85,,,38.15,,,,,,,,,,"CL_from Barry Norbert sheet ""Caribou_Demographic_Vital_Rates_22July2021_forSerrouya"" May 7,2022",,,,
,Scott,Scott,2014,Winter,NA,NA,,NA,OSC,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,2,,,,NA,NA,4,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,BM,Number of Ad F determined from collar data,,,
,Scott,Scott,2007,Winter,NA,NA,,NA,OSC,23,SCF,NA,NA,NA,0.95,NA,NA,22,NA,NA,7,,,,NA,NA,9,NA,NA,1,NA,NA,4,NA,NA,1,NA,NA,NA,BM,"Note (BM): File 2007_Caribou_AerialLateWinterPopulationCount-MRR_Scott(ScottEast) contains data for survey blocks S1a and S1b as well as block Scott East, but the other two files for Scott in this folder only contain block Scott East, so I ignored the block S1a and S1b data in that file and only entered data for block Scott East // MC (SCF) for individual OSC is 23, with SCF 0.95",,,
,Scott,Scott,2013,Winter,10,20,,NA,MNKA,22,LP,20,44,NA,NA,1,0,NA,1,5,NA,,,,NA,NA,NA,NA,NA,NA,9,15,NA,NA,NA,NA,NA,NA,NA,BM,Note (BM): Confidence level for LP estimate is 95,"MNKA: 10 caribou were visually located without the use of telemetry, and one other group of 10 caribou was located using telemetry and contained the only radio-collared caribou.",,
,South Selkirks,South Selkirks,1991,Winter,47,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,,,,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,South Selkirks,South Selkirks,1992,Winter,47,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,,,,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,South Selkirks,South Selkirks,1993,Winter,51,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,,,,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,South Selkirks,South Selkirks,1994,Winter,45,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,,,,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,South Selkirks,South Selkirks,1995,Winter,52,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,,,,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,South Selkirks,South Selkirks,1996,Winter,39,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,,,,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,South Selkirks,South Selkirks,1997,Winter,39,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,,,,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,South Selkirks,South Selkirks,1998,Winter,45,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,BM,,,,
,South Selkirks,South Selkirks,1999,Winter,48,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,BM,,,,
,South Selkirks,South Selkirks,2000,Winter,34,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,,,,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,South Selkirks,South Selkirks,2002,Winter,34,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,,,,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,South Selkirks,South Selkirks,2003,Winter,41,NA,Y,Y for juvs and females only - there was some double counting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,,,,23,NA,NA,4,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,BM,Juvs: Likely some double counting and therefore not a reliable count // Females: Likely some double counting and therefore not a reliable count // Males: Likely some double counting and therefore not a reliable count,,,
,South Selkirks,South Selkirks,2004,Winter,33,NA,,"For juveniles: ""It is possible that the helicopter survey undercounted calves in the survey"" (Wakkinen, 2004) ",OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,,,,NA,NA,NA,NA,NA,NA,26,NA,NA,3,NA,NA,NA,NA,NA,BM,"Juvs: ""It is possible that the helicopter survey undercounted calves in the survey"" (Wakkinen, 2004) // A group of 18 caribou were observed on the side of Hwy 3 one week after the survey, and were likely the same group of 18 counted during the survey; however, the observer reported 4 calves in this group",,,
,South Selkirks,South Selkirks,2005,Winter,35,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,South Selkirks,South Selkirks,2006,Winter,34,37,,NA,MNKA,NA,NA,NA,NA,NA,NA,7,6,NA,5,NA,NA,,,,NA,NA,NA,NA,NA,NA,24,NA,NA,5,NA,NA,NA,NA,NA,BM,,,,
,South Selkirks,South Selkirks,2007,Winter,41,43,,NA,MNKA,NA,NA,NA,NA,NA,NA,6,5,NA,4,NA,NA,,,,NA,NA,NA,NA,NA,NA,37,39,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,South Selkirks,South Selkirks,2008,Winter,46,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,5,4,NA,5,NA,NA,,,,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,South Selkirks,South Selkirks,2009,Winter,46,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,4,2,NA,5,NA,NA,,,,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,South Selkirks,South Selkirks,2010,Winter,43,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,,,,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,South Selkirks,South Selkirks,2011,Winter,36,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,,,,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,South Selkirks,South Selkirks,2012,Winter,27,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,,,,NA,NA,NA,NA,NA,NA,22,NA,NA,4,NA,NA,NA,NA,NA,BM,,,,
,South Selkirks,South Selkirks,2013,Winter,27,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,,,,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,South Selkirks,South Selkirks,2014,Winter,18,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,,,,NA,NA,NA,4,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,South Selkirks,South Selkirks,2015,Winter,14,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,,,,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,South Selkirks,South Selkirks,2016,Winter,12,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,South Selkirks,South Selkirks,2017,Winter,11,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
